stations,lon,lat,year,hour,PM25
2434A,112.1825,32.1142,20180101,12,98
3012A,112.1908,31.03389,20180101,12,141
2439A,112.2014,31.0483,20180101,12,161
1845A,112.2068,30.3515,20180101,12,104
2435A,112.2106,32.0903,20180101,12,125
2441A,112.2211,31.0386,20180101,12,159
1844A,112.2551,30.3175,20180101,12,120
1846A,112.2887,30.3055,20180101,12,134
2470A,112.3347,28.6047,20180101,12,40
2469A,112.3439,28.56,20180101,12,60
2468A,112.3458,28.5808,20180101,12,59
1811A,112.3628,34.6692,20180101,12,126
2471A,112.3744,28.5819,20180101,12,44
1816A,112.3844,34.6231,20180101,12,98
1812A,112.3939,34.6511,20180101,12,91
2467A,112.4067,28.6428,20180101,12,51
2169A,112.4078,39.3265,20180101,12,196
2168A,112.4254,39.3179,20180101,12,201
1397A,112.427,23.0706,20180101,12,82
1817A,112.4275,34.6258,20180101,12,78
2170A,112.4279,39.3673,20180101,12,92
1083A,112.434,38.0108,20180101,12,72
2166A,112.44,39.3514,20180101,12,105
3022A,112.4433,34.6686,20180101,12,89
2167A,112.4549,39.3606,20180101,12,85
1814A,112.4664,34.6869,20180101,12,107
1084A,112.469,37.7124,20180101,12,60
1398A,112.471,23.0528,20180101,12,87
1564A,112.4876,27.9164,20180101,12,78
1089A,112.488,37.7805,20180101,12,59
2405A,112.5003,32.9735,20180101,12,69
2403A,112.5192,32.9917,20180101,12,117
1081A,112.522,37.8873,20180101,12,62
2404A,112.5224,33.0122,20180101,12,93
2456A,112.5328,26.9089,20180101,12,82
1086A,112.5369,37.8692,20180101,12,65
1088A,112.549,37.9854,20180101,12,57
2407A,112.55,32.9683,20180101,12,107
2406A,112.5573,33.027,20180101,12,64
1085A,112.5583,37.7394,20180101,12,72
1399A,112.565,23.1617,20180101,12,92
2461A,112.5664,26.9056,20180101,12,108
1087A,112.57,37.8195,20180101,12,67
2460A,112.6006,26.8919,20180101,12,86
2457A,112.6194,26.9258,20180101,12,81
2459A,112.6197,26.8733,20180101,12,92
2458A,112.6211,26.8956,20180101,12,84
2182A,112.7003,38.4928,20180101,12,134
2174A,112.7105,37.7087,20180101,12,80
2865A,112.7194444,37.68277778,20180101,12,99
2173A,112.7306,37.7111,20180101,12,83
2180A,112.7356,38.4186,20180101,12,153
2181A,112.7383,38.4519,20180101,12,107
2171A,112.7549,37.7019,20180101,12,87
2164A,112.8252,35.4813,20180101,12,191
2161A,112.835,35.4934,20180101,12,172
1376A,112.844,22.8693,20180101,12,95
2160A,112.85,35.5051,20180101,12,166
1378A,112.863,23.1886,20180101,12,93
1377A,112.885,23.1572,20180101,12,88
1336A,112.8872,28.2189,20180101,12,66
1343A,112.8908,28.1308,20180101,12,67
1512A,112.8937,27.8728,20180101,12,82
1511A,112.9118,27.8403,20180101,12,74
1513A,112.9227,27.8159,20180101,12,71
1338A,112.9394,28.19,20180101,12,79
1340A,112.9792,28.2597,20180101,12,64
1342A,112.9844,28.1178,20180101,12,63
1851A,112.9943,29.4402,20180101,12,76
1339A,112.9956,28.1442,20180101,12,63
1344A,112.9958,28.3586,20180101,12,161
1341A,113.0014,28.1944,20180101,12,60
1562A,113.0048,27.9153,20180101,12,76
2473A,113.0116,25.8226,20180101,12,102
2474A,113.0119,25.8179,20180101,12,101
1703A,113.0208,23.7106,20180101,12,75
1385A,113.024,22.5328,20180101,12,106
2476A,113.0348,25.7759,20180101,12,110
2475A,113.0383,25.8071,20180101,12,89
1702A,113.0425,23.6936,20180101,12,76
3025A,113.0472,23.63444,20180101,12,73
1384A,113.074,22.5811,20180101,12,110
1337A,113.0792,28.2053,20180101,12,78
1386A,113.0819,22.5931,20180101,12,92
1335A,113.0833,28.2325,20180101,12,74
1731A,113.0844444,36.1855,20180101,12,131
1730A,113.0886,36.2126,20180101,12,133
1518A,113.095,27.8867,20180101,12,80
1728A,113.0972,36.1939,20180101,12,160
1383A,113.104,22.6069,20180101,12,106
1372A,113.105,23.0395,20180101,12,88
3034A,113.1076,41.0385,20180101,12,24
1847A,113.1094,29.3578,20180101,12,118
1727A,113.1097,36.1542,20180101,12,115
1524A,113.13,27.8528,20180101,12,83
1371A,113.134,23.0048,20180101,12,90
1515A,113.135,27.8244,20180101,12,64
1520A,113.143,27.8381,20180101,12,70
1373A,113.144,23.0467,20180101,12,85
1848A,113.1493,29.4251,20180101,12,87
2845A,113.1569,36.1912,20180101,12,127
1519A,113.167,27.8667,20180101,12,60
1849A,113.1772,29.3678,20180101,12,85
2031A,113.1817,27.9958,20180101,12,75
1834A,113.182,33.737,20180101,12,106
1830A,113.1992,35.259,20180101,12,56
1351A,113.215,23.3917,20180101,12,81
1828A,113.227,35.213,20180101,12,101
1345A,113.235,23.1422,20180101,12,87
1559A,113.251,27.8336,20180101,12,52
1375A,113.257,22.7629,20180101,12,96
1352A,113.26,23.1331,20180101,12,79
1346A,113.261,23.105,20180101,12,81
1827A,113.261,35.235,20180101,12,107
1850A,113.2621,29.4758,20180101,12,87
1725A,113.2661,40.1269,20180101,12,106
1726A,113.2711,40.0844,20180101,12,86
2923A,113.2803,40.1114,20180101,12,78
1354A,113.281,23.1569,20180101,12,82
1374A,113.292,22.8054,20180101,12,96
1833A,113.292,33.739,20180101,12,120
1370A,113.299,22.2281,20180101,12,114
1723A,113.2994,40.0758,20180101,12,56
1831A,113.3064,33.7214,20180101,12,134
2846A,113.3208,23.1323,20180101,12,79
1832A,113.322,33.721,20180101,12,129
1724A,113.3444,40.0917,20180101,12,47
1348A,113.348,23.0916,20180101,12,68
1350A,113.352,22.9477,20180101,12,84
2451A,113.3583,31.7275,20180101,12,92
1379A,113.3769,22.5211,20180101,12,106
1721A,113.3819,40.1097,20180101,12,63
2452A,113.3833,31.6908,20180101,12,94
1380A,113.3881,22.5497,20180101,12,94
2453A,113.3983,31.7308,20180101,12,83
1381A,113.4075,22.5111,20180101,12,97
1349A,113.433,23.105,20180101,12,72
1382A,113.4411,22.4853,20180101,12,116
1739A,113.4922,37.8792,20180101,12,123
1368A,113.495,22.2294,20180101,12,86
1743A,113.5158,37.85,20180101,12,87
1670A,113.5593889,24.81119444,20180101,12,82
1319A,113.564,34.802,20180101,12,227
1742A,113.5689,37.8694,20180101,12,108
1367A,113.574,22.2611,20180101,12,92
1738A,113.5753,37.8564,20180101,12,110
1669A,113.586606,24.769519,20180101,12,90
1355A,113.589,23.5538,20180101,12,68
3054A,113.5922,35.28385,20180101,12,116
1740A,113.5922,37.8561,20180101,12,174
1673A,113.5970833,24.68636111,20180101,12,116
1671A,113.598061,24.795928,20180101,12,77
1322A,113.5991,34.7496,20180101,12,201
1324A,113.6113,34.9162,20180101,12,203
1369A,113.628,22.4251,20180101,12,93
1741A,113.6292,37.8531,20180101,12,139
1323A,113.6356,34.7538,20180101,12,206
1317A,113.641,34.7745,20180101,12,202
1672A,113.6734722,24.77908333,20180101,12,99
